question;answer_A;answer_B;answer_C;answer_D;answer_E;id
A patient presents to your office for a preconception consultation. She is 32 years old and nulligravida. She has been managed for a year for well-controlled hypertension with perindopril, one tablet per day. She is using combined estrogen-progestin contraception, which she plans to stop at the end of her current pack. She weighs 81 kg and is 1.68 meters tall. She smokes 5 cigarettes per day but would like to quit. What do you plan at the end of the consultation? (one or more correct answers);'Rubella serology';'Assistance in smoking cessation through nicotine replacement therapy';'Cervical smear if the latter is more than one year old';Prescription of folates at a dose of 5 mg/day.;'Discontinuation of treatment with perindopril and transition to another antihypertensive.';13
A 28-year-old woman is seeking consultation for the palpation of a mass in the upper outer quadrant of the right breast. She is worried because her mother and maternal aunt had breast cancer at the ages of 55 and 60, respectively. Upon clinical examination, you palpate a round and regular mass of 15 mm, not adherent to deep or superficial planes. There is no inflammation or skin retraction evident. No suspicious lymphadenopathy is palpated in the axillary and supraclavicular lymph node areas. What examination(s) should be requested first?;"""Breast ultrasound""";'A chest X-ray';"""Measurement of CA 15-3""";A breast MRI;"""A mammography""";14
"A 38-year-old woman consults three months after her third childbirth for a contraception request. She had a cesarean section, while her first two deliveries were vaginal. She has recently stopped breastfeeding her child as she needs to resume her professional activity. In her medical history, she reports a uterine perforation during the insertion of an intrauterine device 7 years ago, a thrombophlebitis under a cast 10 years ago, and cervical laser treatment 4 years ago for cervical dysplasia related to a human papillomavirus infection. She does not smoke but occasionally ""vapes"". The last cervical smear, performed at the beginning of her pregnancy, was normal. What contraceptive method(s) can be considered for this woman?";Levonorgestrel intrauterine device;'Copper intrauterine device';Transdermal device releasing norelgestromin and ethinylestradiol;'Tubal sterilization by laparoscopy';Subcutaneous device releasing etonogestrel;15
In the event of a suspected intraocular metallic foreign body, which examination(s) would you propose urgently?;An orbital scan;"""An MRI""";'An X-ray of the orbit';'Fluorescein angiography';A measurement of intraocular pressure;16
"""What are the correct statements regarding voluntary termination of pregnancy (abortion) in France?""";A woman under guardianship can request an abortion.;A woman can request complete anonymity for the performance of an abortion.;The insertion of an intrauterine device (IUD) is contraindicated in the immediate aftermath of a surgical abortion.;'Prostaglandins cannot be used in cases of hereditary porphyria.';A psychosocial consultation must systematically be carried out before performing the termination of pregnancy.;17
A chalazion:;'Is an infection of a pilosebaceous follicle of the eyelids';It is a resorption granuloma of a meibomian gland of the eyelids.;'Treated with corticosteroid ointment';'Treated with systemic antibiotics';'May require a surgical incision';18
What are the possible etiologies of decreased visual acuity associated with ocular redness (multiple correct answers)?;Acute angle-closure glaucoma attack;"""Anterior uveitis""";"""Central Retinal Artery Occlusion""";Neovascular glaucoma;Retinal vasculitis;19
In the case of myopia (one or more correct answers):;The optical system formed by the eye is too convergent.;Distance vision is better than near vision without correction.;'The light rays focus in front of the retina.';A divergent lens can be used for correction.;The risk of retinal detachment may be increased.;20
"""You are caring for an 83-year-old patient, well-supported, on day 2 post-knee arthroplasty. The Redon drains were removed without issue. She has a swollen knee, very edematous and inflammatory. The scar is nice, non-inflammatory. What is/are the correct proposition(s)?""";'Outpatient care is possible.';The electrotherapy techniques practiced by the physiotherapist aim to reduce edema.;The prescription for an English cane could be made by the private physiotherapist after discharge from the hospital.;Your physiotherapy prescription must necessarily specify the physiotherapy techniques to be used.;The adaptation of the home should take place after preparing a file with the MDPH (Departmental House for Disabled Persons).;21
You are managing a 32-year-old patient, a computer scientist, whose smoking history is evaluated at 15 pack-years, with no medical or surgical history, who was a victim of a road accident resulting in a severe spinal cord injury due to a C5 cervical fracture treated with anterior osteosynthesis on April 30, 2018. The weaning from mechanical ventilation was difficult, so a tracheostomy was performed on May 21, 2018, after orotracheal intubation. Weaning was then carried out on May 29. Upon arrival, he is eupneic. He has a stage 4 pressure sore on the right trochanter, with a loss of tissue down to the bone. The base of the sore is fibrous, and the purulent secretions are very abundant without signs of cutaneous inflammation. What is/are the correct proposal(s)?;'Tracheal stenosis is a complication of prolonged orotracheal intubation.';You prefer for the treatment of this pressure ulcer a combination of local antiseptics and dry dressings.;The presence of this pressure ulcer contraindicates the use of a wheelchair.;"""With the lesion being at the C6 spinal level, you would expect anesthesia starting from the lateral border of the forearm in the anatomical position.""";The request for long-term care can be made by the attending physician.;22
'You prescribe a standard articulated knee orthosis to one of your patients suffering from a knee sprain. Check the correct principle(s) of prescription for this type of medical device:';It is prescribed on a regular prescription.;'It is prescribed on a large medical equipment form.';"""He is reimbursed 100% of his purchase price.""";It can be prescribed by all specialists.;'It can be prescribed by a physiotherapist.';23
'Regarding carpal tunnel syndrome, which statement(s) is (are) true?';'It is most often idiopathic.';"""It is more common during pregnancy.""";The electromyogram is essential for diagnosis.;"""It may lead to a deficit of the flexor pollicis longus.""";It may cause an abolition of the brachioradialis reflex.;24
Regarding knee osteoarthritis, which is(are) the correct answer(s)?;"""Joint aspiration is essential for diagnosis.""";'A genu varum predisposes to medial femorotibial gonarthrosis.';Viscosupplementation injections are indicated during flare-ups with joint effusion.;The surgical indication depends on the severity of the joint space narrowing.;The effectiveness of corticosteroid injections is limited in time.;25
A 78-year-old former mechanic comes in for consultation due to significant febrile inflammatory lower back pain that started 10 days ago. You suspect a spondylodiscitis and decide to prescribe him a lumbar MRI. This patient has a total hip prosthesis that was implanted 8 years ago and a valvular prosthesis placed 2 years ago. He received a coronary stent 3 months ago. He has a glomerular filtration rate of 48 ml/min. During the interview, he reports that he received metallic fragments in his right eye and right cheek 40 years ago. Which consideration(s) contraindicate(s) the use of contrast-enhanced MRI?;"""Metallic fragments in the eye""";'Hip prosthesis';'The prosthetic valve';'The coronary stent';'Renal function';26
In case of oculomotor nerve (III) paralysis, what might you encounter during the examination?;'A defect in eye elevation';'A miosis';A defect in eye adduction;An exophthalmos;A ptosis;27
A 62-year-old patient has a medical history of essential hypertension treated with monotherapy for 2 years and active smoking (45 pack-years). For about two weeks, he has been complaining of daily headaches that tend to settle in the second part of the night. Initially, they gradually subsided during the morning. For about 3 days, they have been constant. These headaches are described as diffuse, helmet-like, and fluctuate in intensity, exacerbated by physical activity. He also complains of a loss of appetite and nausea, both of which have been progressively developing. The patient is afebrile. What syndrome does this presentation suggest to you?;'Status migrainosus';"""Chronic daily headaches""";"""Infectious meningitis syndrome""";'Intracranial hypertension';"""Meningeal syndrome related to a subarachnoid hemorrhage""";28
A 59-year-old patient noticed a tremor in the last three fingers of his right hand that those around him also observed while walking. He swings his right upper limb less while walking. Upon examination, you find that the tremor disappears with arms extended. You observe that passive movement of the right elbow is more difficult and that movement of the right shoulder is painful. The deep tendon reflexes are normal. This type of tremor is likely aggravated by:;The emotion;"Il termine ""Le calcul mental"" si traduce in inglese come ""Mental calculation"". In un contesto medico, può riferirsi all'abilità del cervello di elaborare e risolvere calcoli matematici senza l'uso di strumenti esterni.";The writing;"""The movement""";"Il testo ""Le sommeil"" si traduce in inglese come ""Sleep.""";29
"""Among the following propositions, which one(s) apply(ies) to a central neurogenic bladder?""";Il testo francese 'Le' si traduce in inglese come 'The'.;"""Hypoactive detrusor""";Incontinence;'Risk of vesicoureteral reflux';'Low intravesical pressures';30
'Which of the following foods contain more than 5% carbohydrates?';"""Lenses""";"""Green beans""";Meat'.;Cheese;"""Fruits""";31
'Among the following biological signs, which one(s) guide(s) you towards an iatrogenic adrenal insufficiency in a 38-year-old patient with a history of Crohn's disease treated for 5 years with 10 mg/day of prednisone?';Sodium level at 128 mmol/l;'Kaliemia at 5.8 mmol/l';'Fasting blood glucose at 3 mmol/L';Plasma ACTH at 8 a.m. at 585 pg/ml (normal range: 10 – 20);Urinary free cortisol at 25 µg/24 hours (normal: < 90);32
You see in consultation a 15-day-old newborn who presents with an isolated fever of 38.2°C and a preserved general condition.;You reassure the parents about the benign nature of this fever during viral epidemic periods.;"""The flu test is not informative at this age.""";"""The urine dipstick is not informative at this age.""";The performance of a urine cytobacteriological examination is systematic.;"""The performance of a lumbar puncture is systematic.""";33
When faced with a lesion on the tongue, what clinical sign(s) would indicate a malignant origin?;'Indurated lesion';'Painful lesion';'Bleeding upon contact during palpation of the lesion';"""Submucosal induration""";'Presence of associated leukoplakia';34
"""You are called to the home of an infant found deceased by their parents a few minutes ago:""";You ask to be accompanied by the police.;You must not sign the death certificate before admission to the hospital.;You are drafting a report to the public prosecutor.;You suggest to the parents to conduct an autopsy to determine the causes of death.;The transfer of the body must be made to a medical-legal institute.;35
'You explain to young parents whose child is experiencing a first febrile episode the measure(s) to be taken during this episode.';The pharmacological treatment is necessary for any temperature exceeding 39°C.;"""Fluid intake is necessary every hour as long as the fever persists.""";'use cool compresses if the child is uncomfortable';"""The use of ibuprofen is only possible after 3 months.""";Keep the child out of group settings for the duration of the fever.;36
Regarding cervical swellings, what is/are the exact item(s)?;A thyroglossal duct cyst is mobile during swallowing.;A right supraclavicular lymphadenopathy may be indicative of a genitourinary cancer.;A superficial, resilient swelling located at the anterior border of the sternocleidomastoid muscle is suggestive of a branchial cyst.;A schwannoma of the brachial plexus is a differential diagnosis for a submandibular lymphadenopathy.;A schwannoma of the accessory nerve is a differential diagnosis for spinal lymphadenopathy.;37
Regarding peritonsillar abscess, what is/are the exact item(s)?;The abscess is located in the parapharyngeal space.;"""There may be trismus""";'The anterior pillar of the soft palate is enlarged.';In adults, hospitalization is systematic.;The drainage of the abscess is performed either by aspiration or by incision under general anesthesia.;38
Regarding benign paroxysmal positional vertigo, what are the exact item(s)?;"""It lasts less than a minute.""";'It is consequent to a vestibular ischemia';It is treated with vestibular physiotherapy.;"""It is associated with tinnitus.""";"""There is a positional triggering factor.""";39
A 32-year-old patient presents to the emergency department with asthenia. There are no other abnormalities on clinical examination. Biological tests reveal an increase in transaminases with AST=1362 IU (normal <40), ALT=2348 IU (normal <40). What are the possible causes for this increase in transaminases?;'Acute viral hepatitis';Acute alcoholic hepatitis;"""Drug-induced hepatitis""";'Autoimmune hepatitis';Cannabis-induced hepatitis;40
A 62-year-old patient presents with progressively developing hyponatremia. Clinically, he appears euvolemic. His blood biochemical profile is as follows: Na 125 mmol/L, K 4 mmol/L, chloride 110 mmol/L, HCO3- 25 mmol/L, glucose 5 mmol/L, proteins 67 g/L, urea 4 mmol/L, creatinine 78 µmol/L. Urinary profile: Na 100 mmol/L, K 25 mmol/L, urea 350 mmol/L, creatinine 8 mmol/L. What are the possible causes of this biochemical profile? (One or more correct answers)?;'Syndrome du thé et des toasts';'Intake of furosemide';Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH);"""Intake of amlodipine""";"""Lithium intake""";41
An 86-year-old patient is hospitalized for hematemesis. He is known to have viral hepatitis B, which is not being monitored. His family describes a bloody vomit equivalent in volume to that of a basin. Upon examination, he presents with ascites and asterixis. The systolic blood pressure is 55 mmHg. Among the following elements, which is/are associated with a poor prognosis?;"La traduzione del termine francese ""Age"" in inglese è ""Age"".";"""Volume of hematemesis""";'Blood pressure';Presence of hepatic encephalopathy;Presence of ascites;42
A 62-year-old patient presents with the following biological profile: Na 142 mmol/l, K 5.7 mmol/l, chloride 110 mmol/l, HCO3- 18 mmol/l, proteins 88 g/l, urea 20 mmol/l, creatinine 170 µmol/l. Which medication(s) could cause this biological profile? (One or more correct answers);'Ibuprofen';"The term ""Candesartan"" is the same in both French and English as it is the generic name of a medication.";"""Amiloride""";"Il termine ""Amlodipine"" è già in inglese. Amlodipine è un farmaco usato principalmente per trattare l'ipertensione e l'angina pectoris.";"Il termine ""Prednisone"" è identico in inglese e in francese, quindi non richiede traduzione.";43
'In the emergency department, you are treating a 67-year-old female patient whose reason for admission is pain in the right calf. The medical history and clinical examination reveal progressive cancer currently undergoing treatment and localized tenderness along the deep venous network on the right side. The remainder of the examination is unremarkable. You utilize a simplified clinical prediction model for deep vein thrombosis (DVT) which indicates a 17% probability of DVT. You request a venous Doppler ultrasound of the lower limbs to confirm this suspicion of DVT. Among the following options, which one(s) is/are correct?';The post-test probability of DVT depends on the sensitivity of the venous Doppler ultrasound.;The pre-test probability of DVT depends on the specificity of the venous Doppler ultrasound.;The post-test probability of DVT depends on the likelihood ratio of the venous Doppler ultrasound.;The post-test probability of DVT depends on the intrinsic performance of the venous Doppler ultrasound.;The post-test probability of DVT can be determined graphically using Fagan's nomogram.;44
A 43-year-old patient consults for moderate hyperferritinemia at 2 times the normal level, discovered during a routine check-up conducted by occupational medicine. He is asymptomatic. Which element(s) would suggest a metabolic hepatosiderosis?;'Elevated transferrin saturation coefficient';"""Overweight""";Hypertriglyceridemia;Basedow's disease;History of colon cancer;45
"""In the case of sigmoid diverticulitis, an injected abdominopelvic computed tomography (CT) scan is performed. It can show (one or more correct answers):""";"""Additive images containing air at the anti-mesenteric border of the colon""";'A thinning of the colonic wall';'An infiltration of fat around a diverticulum';"""Thickening of the colonic wall""";"""The pylophlebitis""";46
"""In what situation(s) does a patient benefit from an exemption from the co-payment (based on social security rates)?""";The care of minor children, whatever it may be;The care, whatever it may be, for individuals benefiting from State Medical Assistance (AME);'Care, of any kind, for pregnant women from the 4th month of pregnancy';Performing a mammogram on a 54-year-old woman as part of the national breast cancer screening program.;The additional examinations, outside of the usual care, conducted as part of participation in a randomized trial;47
A 48-year-old patient has been experiencing headaches for a few weeks, leading to a diagnosis of hypertension. The average of his ambulatory blood pressures is 177/92 mmHg. His biological workup is as follows: Na 142 mmol/L, K 3.4 mmol/L, creatinine 70 µmol/L, calcium 2.5 mmol/L. 24-hour urine output: 1400 ml. Urinary ionogram: Na=180 mmol/L, K=50 mmol/L, proteinuria <0.01 g/L. Based on this workup, what cause(s) should you consider for this hypertension?;'Renal artery stenosis';Gitelman syndrome;"""Primary hyperaldosteronism""";Chronic consumption of licorice;"""Pheochromocytoma""";48
Which tumor marker is valuable for screening, diagnosis, prognosis, and monitoring of the cancer for which it is specific? (1 response);"Forse ti riferisci a un contesto specifico in cui ""Ace"" viene utilizzato in francese. Tuttavia, ""Ace"" non è una parola francese; è in realtà una parola inglese usata in vari contesti, tra cui giochi di carte e sport, per indicare l'eccellenza o un colpo vincente. Se hai un contesto medico o un altro uso specifico in mente, ti pregherei di fornire ulteriori dettagli per offrirti una traduzione accurata.";"Il termine ""Psa"" potrebbe riferirsi a ""PSA,"" che in ambito medico sta per ""Antigène Prostatique Spécifique"" in francese, tradotto in inglese come ""Prostate-Specific Antigen.""";"The term ""Alpha fp"" in French refers to ""Alpha-fetoprotein"" in English. Alpha-fetoprotein is a plasma protein that is typically produced by the fetal liver, yolk sac, and gastrointestinal tract. In medical contexts, it is often used as a biomarker in maternal blood screening and in the detection and monitoring of certain types of liver cancer.";"""HCG""";"“CA-125""";49
"'Within the framework of the law of February 2, 2016, known as the ""Claeys-Leonetti law"", when a patient can no longer express themselves, a treatment that appears unnecessary, disproportionate, or when it has no other effect than solely maintaining artificial life, can be suspended following a collegial procedure defined by regulatory means. What element(s) is (are) provided for in this procedure?'";A consultation of advance directives if they exist.;"""The opinion of at least one consulting physician""";A discussion with the members of the care team present.;'Information from the on-call director if this procedure takes place over the weekend';"""The decision must be recorded in the medical record.""";50
"""Upon which means does the evaluation of the qualitative dimension of pain rely?""";'DN4 Questionnaire';'Doloplus questionnaire';Algoplus scale;'Visual analogue scale';Numeric scale'.;51
'By what therapeutic means can neuropathic pain be managed as a first-line treatment?';A tricyclic antidepressant;'An antiepileptic from the gabapentinoid class';The morphine;Transcutaneous electrical stimulation;"""Medullary Stimulation""";52
A 55-year-old patient is being cared for in a palliative care unit for the terminal progression of respiratory failure complicating severe emphysema. His main complaint is an increase in his dyspnea. How should this dyspnea be managed? (one or more correct answer(s));'Evaluation of the symptom using a visual analogue scale';Adaptation of oxygen therapy flow to ensure arterial oxygen saturation is above 95%;"""Introduction or escalation of opioid therapy""";'Comfortable positioning of the patient';"""Deep and continuous sedation from the outset until death""";53
A type of weight loss surgery such as sleeve gastrectomy may be proposed (one or more correct answers):;In adolescents aged 15 and over, if the BMI is greater than 40 kg/m²;In a 55-year-old patient, equipped for sleep apnea, with a BMI ≥ 35 kg/m².;"""In cases of severe eating behavior disorders""";If the subject has understood and accepted the lifelong medical and surgical post-operative follow-up;If the patient has received clear and complete information about the surgical risks;54
A 52-year-old patient with no significant medical history presents with hypertension, proteinuria of 2 g/24h, hematuria at 105 red blood cells/ml, and serum creatinine at 130 µmol/l. His bladder-kidney ultrasound is normal. Here is the report from his kidney biopsy: cortical fragment including 15 glomeruli, 4 of which are sclerotic. The patent glomeruli show mesangial and endocapillary proliferation. Moderate arteriolosclerosis lesions. Tubular atrophy and interstitial fibrosis affecting approximately 20% of the parenchyma. Immunofluorescence reveals IgA deposits at +++ in the mesangium and C3 at 1+ in the vessels and glomeruli. What are the possible diagnosis/diagnoses?;'Tubulointerstitial nephropathy';Class IV lupus nephritis;"""Pauci-immune glomerulonephritis""";IgA nephropathy;'Néphroangiosclérose' si traduce in inglese come 'nephroangiosclerosis'.;55
"""What factors indicate the occupational origin of allergic contact dermatitis in a plastics worker involved in the manufacturing of pleasure boats (one or more possible answers)?""";"""The symptomatology that improves during vacations""";A location of the lesions on the back of the hands and wrists.;'The presence of multiple simultaneous cases in the same workshop';'History of atopy in childhood';"""The presence of lesions on the eyelids""";56
Young general practitioner, you are seeing a 52-year-old patient for the first time who complains of insomnia, anxious rumination, a loss of vital drive, and disengagement from family and professional activities. He indicates that his symptoms appeared six months ago, following the arrival of a new team leader who constantly comments on his slowness at work and lack of intellectual abilities. He even reports insults directed at him on several occasions when he was alone with his supervisor. This patient has no notable medical history, except for a reactive depression following a divorce 10 years ago. The patient is asking you to make a declaration of an occupational disease. What should you indicate on the initial medical certificate?;The existence of a depressive syndrome;The date on which you first identified the pathology.;'History of depressive syndrome';The existence of harassment by a colleague;"""The name of the department head""";57
A 12-year-old patient is admitted to the pediatric emergency department for a meningeal syndrome. A nursing assistant settles him in an examination room, and the nurse comes to take his temperature and blood pressure. The intern then examines the child and suspects an invasive meningococcal infection, which will be confirmed by the analysis of the cerebrospinal fluid (meningococcus C). The nurse, who is 30 years old, approaches the intern, expressing concern because she is pregnant and asks what she should do since she attended to the child without a mask and is not vaccinated against meningococcus. What measure(s) should be offered to her?;A vaccination with the conjugate meningococcal vaccine;'Prophylaxis with oral rifampicin for 5 days';"""Prophylaxis with oral rifampicin for 2 days""";'Reassure her and inform her that there is no risk of contamination.';'Prophylaxis with an injection of ceftriaxone';58
What hygiene measures should be taken upon entering the room when caring for a patient with pulmonary tuberculosis?;'Wearing a long-sleeved gown';"""Wearing a respiratory protective mask (FFP2 type)""";"""Wearing a hairnet""";"""Wearing of overshoes""";'Friction of hands with a hydroalcoholic solution';59
What are the mandatory vaccinations for a nurse working in a hospital care unit (one or more answers possible)?;'Pneumococcal vaccination';'Vaccination against diphtheria, tetanus, and poliomyelitis';Vaccination against hepatitis A;Whooping cough vaccination;'Hepatitis B vaccination';60
Regarding acute peritonitis, which proposition(s) do you consider?;The abdominal CT scan is the reference morphological examination for diagnosis.;The surgical treatment must include a lavage of the peritoneal cavity.;The 3 most common causes are appendicitis, gastro-duodenal ulcer, and colonic diverticulum.;The evolutionary risk of peritonitis is septic shock.;Peritonitis is always associated with a gastrointestinal perforation.;61
Regarding acute intestinal obstruction, which information is accurate?;A functional obstruction may be caused by an electrolyte imbalance.;A peritoneal band can lead to an obstruction by strangulation.;'Strangulation obstruction threatens the viability of the intestine within a few hours';The abdominal CT scan with contrast injection is the reference examination.;Colon cancer is the leading cause of colonic obstruction by blockage.;62
'Regarding the obstructive syndrome: (one or more correct answers)';"""The absence of bowel movements is a physical sign missing in 30% of cases.""";"""Abdominal pain is always the initial symptom.""";"""The location of the abdominal pain indicates the site of the obstruction.""";Repeated and frequent vomiting temporarily relieves abdominal pain in small bowel obstructions.;"""The cessation of gas passage is the primary functional sign for diagnosis.""";63
Mr. M, a 58-year-old patient, has been referred to you for abnormalities in his iron profile. In his medical history, there is only a mention of diabetes diagnosed 3 months ago. During the clinical examination, his temperature is 37.3 °C. You note hepatomegaly estimated at 5 cm below the right costal margin. His iron profile is presented to you below: transferrin saturation coefficient (TSC) at 62%, ferritin at 1200 ng/ml (normal range 30 to 300 ng/ml). Among the following propositions, which of the following causes could explain the abnormalities in the iron profile presented in this clinical context?;'Inflammatory syndrome';'Dysmetabolic hepatosiderosis';'Genetic hemochromatosis';"""Myelodysplasia""";Macrophage activation syndrome;64
'During the admission of a polytraumatized patient in severe hemorrhagic shock (one or more correct answers):';"""A full-body scan is essential and must be performed urgently.""";A quick bedside ultrasound is sufficient to confirm hemoperitoneum.;An emergency laparotomy is indicated to confirm the abdominal origin of the hemorrhagic shock.;"In the case of massive hemoperitoneum, the ""damage control"" technique is the reference technique.";"The ""damage control"" technique aims to control bleeding and simultaneously treat digestive injuries.";65
Mr. M., a 22-year-old man, presents to the emergency department due to fatigue associated with a fever of 39°C that has been persisting for 72 hours. He complains of odynophagia and diffuse myalgias. On clinical examination, you find cervical lymphadenopathy and splenomegaly measuring a fingerbreadth. A blood workup was conducted externally and shows the following results: hemoglobin 13.2 g/dl, mean corpuscular volume (MCV) 89 fl, platelets 120 g/l, leukocytes 10.6 g/l, neutrophils 1.6 g/l, basophils 0.1 g/l, eosinophils 0.4 g/l, lymphocytes 8 g/l, monocytes 0.5 g/l. Blood smear: presence of numerous large lymphocytes with hyper-basophilic cytoplasm. Among the following additional tests, which one(s) seem appropriate to perform as first-line investigations in this clinical context?;"""Myelogram""";'Lymphocyte immunophenotyping';"""p24 Antigenemia""";Mi dispiace, ma il testo che hai fornito sembra incompleto. Potresti fornire il testo completo o correggerlo?;"""Serology of cytomegalovirus (CMV)""";66
"A patient presents with claudication for a distance evaluated at 400 meters, which manifests as pain in the right calf. Upon clinical examination you note:

- The absence of edema in the lower limbs
- The presence of all peripheral pulses in the left lower limb
- The popliteal pulse is however full and very easy to palpate
- Whereas on the right, only the femoral pulse is detected
- There are no sensory or motor disturbances in the lower limbs

Finally, you detect a left iliac bruit. Which arterial lesion(s) should you suspect?";Left iliac occlusion';'Left iliac stenosis';"""Left popliteal aneurysm""";'Right iliac occlusion';'Right femoral occlusion';67
"""Regarding the murmur in mitral insufficiency, which proposition(s) is (are) correct?""";'It is a midsystolic ejection murmur.';It is most often in a jet of steam.;It may be associated with a mid-diastolic murmur.;"""It is most often located in the apico-axillary region.""";"""It radiates to the carotids.""";68
In a clinical trial, the random allocation (randomization) of the treatment being evaluated is intended to:;"""Form comparable groups in light of potential confounding factors""";Conclude that there is a difference with a statistical significance threshold of 5%.;'Mitigate sampling fluctuations';"""Maintain the subjects in ignorance of the allocated treatment for the entire duration of the study.""";Reduce the number of subjects required.;69
