id,questions,tag
10,"In a patient treated for 2 days for proximal pulmonary embolism with unfractionated heparin, the aPTT ratio is 6 and the anti-Xa activity is measured at the peak activity at 1.2 IU/ml, in the absence of bleeding, what measure(s) do you take immediately? (one or more possible answers)
","The patient in question has been receiving treatment for proximal pulmonary embolism with unfractionated heparin for the past 2 days. The aPTT ratio, which measures the efficacy of heparin therapy, is 6, indicating that the patient's blood is not clotting as much as it should be. Additionally, the anti-Xa activity, which directly assesses the level of heparin in the blood, is measured at 1.2 IU/ml at its peak. Given these findings and the absence of bleeding, immediate action is necessary."
11,"A 62-year-old man with no medical history presents with a spontaneous deep hematoma of the psoas muscle. The hemogram shows hemoglobin at 90 g/l and platelets at 170 g/l. His hemostasis assessment is as follows: aPTT ratio at 2.1, PT at 78%, and fibrinogen at 3.1 g/l. Mixing the patient's plasma with normal plasma does not correct the aPTT (Rosner index at 28 for a normal < 15). Testing of intrinsic pathway factors reveals factor VIII at 4%. What diagnostic hypothesis(es) do you consider? (one or more possible answers)
","The patient in question is a 62-year-old man with no prior medical history who has developed a spontaneous deep hematoma of the psoas muscle. This condition is characterized by bleeding within the muscle, which can be painful and potentially life-threatening. The hemogram results indicate a hemoglobin level of 90 g/l, which is slightly below the normal range, and platelets at 170 g/l, which is within the normal range. The hemostasis assessment shows an elevated aPTT ratio of 2.1, indicating a prolonged activated partial thromboplastin time, which suggests a possible deficiency or dysfunction in one of the clotting factors involved in the intrinsic pathway. The PT (prothrombin time) is 78%, which is within the normal range, and fibrinogen is 3.1 g/l, also within the normal range. The failure to correct the aPTT upon mixing the patient's plasma with normal plasma (Rosner index at 28) suggests an inhibitor may be present. Further testing reveals a significantly low factor VIII level at 4%, which is indicative of hemophilia A. Based on these findings, the diagnostic hypothesis for this patient could be hemophilia A with an inhibitor."
12,"A patient is brought unconscious by firefighters to the emergency room following a road traffic accident. She has multiple trauma for which an emergency brain and thoraco-abdomino-pelvic CT scan is performed. She presents with a splenic fracture requiring surgical intervention. Upon arrival, her husband informs you that she is approximately 8 weeks pregnant. The radiation dose received is 10 mGy. What are the risks associated with the accident and the medical management?
","The patient in question has been involved in a road traffic accident and is brought to the emergency room unconscious with multiple trauma. An emergency CT scan reveals a splenic fracture that requires surgical intervention. Additionally, it is discovered that the patient is approximately 8 weeks pregnant. The radiation dose from the CT scan is 10 mGy. Given these circumstances, it is important to consider the risks associated with both the accident and the medical management, including potential harm to the developing fetus from radiation exposure."
13,"A patient presents to your office for a preconception consultation. She is 32 years old, nulligravida. She has been monitored for a year for well-controlled arterial hypertension under perindopril, one tablet per day. She is using estrogen-progestin contraception which she plans to stop at the end of her pack. She weighs 81 kg and is 1.68 meters tall. She smokes 5 cigarettes per day but would like to quit. What do you plan at the end of the consultation? (one or more correct answers)
","The patient is a 32-year-old woman who has never been pregnant (nulligravida) and is seeking preconception counseling. She has well-controlled arterial hypertension, which is being managed with perindopril, a medication she takes once daily. Additionally, she is currently using estrogen-progestin contraception and intends to discontinue it at the end of her current pack. The patient weighs 81 kg and stands 1.68 meters tall. Although she smokes 5 cigarettes per day, she expresses a desire to quit. Based on this information, what recommendations or plans would you suggest at the conclusion of the consultation?"
14,"A 28-year-old woman consults for the palpation of a mass in the upper outer quadrant of the right breast. She is worried because her mother and maternal aunt had breast cancer at 55 and 60 years old, respectively. On clinical examination, you palpate a round and regular 15 mm mass, not adherent to the deep and superficial planes. There is no inflammation or skin retraction observed. No suspicious lymphadenopathy is palpated in the axillary and supraclavicular lymph node areas. What examination(s) should be requested initially?
","Breast cancer is a significant concern in women, especially those with a family history of the disease. In this case, the patient's mother and maternal aunt had breast cancer, which increases her risk. The clinical examination reveals a palpable mass in the upper outer quadrant of the right breast, which is round, regular, and not adherent to any planes. Given these findings, the initial examination to be requested would be a mammogram. This imaging test is crucial for evaluating breast tissue and can help identify any suspicious lesions or abnormalities that may require further investigation. Additionally, an ultrasound of the breast may also be considered as it can provide additional information about the nature of the mass."
15,"A 38-year-old woman consults 3 months after her third delivery for a request for contraception. She had a cesarean section, whereas her first two deliveries were vaginal. She has just stopped breastfeeding her child because she needs to resume her professional activity. In her medical history, she reports a uterine perforation during the insertion of an intrauterine device 7 years ago, a phlebitis under cast 10 years ago, and a cervical laser treatment 4 years ago for cervical dysplasia related to human papillomavirus infection. She does not smoke but ""vapes"" occasionally. The last cervical cytology, performed at the beginning of pregnancy, was normal. What contraceptive method(s) is(are) possible for this woman?
","The patient is a 38-year-old woman who has recently stopped breastfeeding after her third delivery. She is seeking contraception and has a history of a cesarean section, vaginal deliveries, uterine perforation from an intrauterine device (IUD) insertion, phlebitis, and cervical laser treatment for cervical dysplasia related to human papillomavirus (HPV) infection. She does not smoke but occasionally uses an e-cigarette. The last cervical cytology was normal. Given her medical history, what contraceptive methods are suitable for her?"
16,"In the case of suspected intraocular metallic foreign body, which examination(s) do you propose as an emergency?
","In the case of suspected intraocular metallic foreign body, which examination(s) do you propose as an emergency?  An intraocular metallic foreign body refers to a small metal object that has entered the eye. This can occur due to trauma or accidents involving metal particles, such as from grinding or welding. It is important to identify and manage this condition promptly to prevent further complications, such as infection or damage to the eye structures.  To diagnose an intraocular metallic foreign body, several emergency examinations can be proposed. These may include a thorough history and physical examination of the eye, assessment of visual acuity, evaluation of the eye's external structures, and examination of the anterior chamber and fundus using techniques like slit-lamp biomicroscopy and indirect ophthalmoscopy. Additionally, imaging studies such as X-ray, ultrasound, or CT scan may be ordered to locate and determine the extent of the foreign body within the eye."
17,"What is the correct statement(s) regarding voluntary termination of pregnancy (abortion) in France?
","In France, the legal framework surrounding voluntary termination of pregnancy, also known as abortion, is governed by specific laws and regulations. These laws aim to balance the rights of women with considerations of public health and ethical concerns. One key aspect of French abortion law is that it allows for the termination of pregnancy up to 12 weeks of gestation without restriction, making it accessible during the first trimester. Additionally, after 12 weeks, abortion can still be performed under certain conditions, such as when the pregnancy poses a grave risk to the woman's health or when there is a fetal anomaly incompatible with life."
18,"A chalazion
","A chalazion is a small, usually painless, lump or cyst on the eyelid that develops when an oil gland at the base of an eyelash becomes blocked. This blockage leads to the accumulation of oil and can cause inflammation. Chalazia are often confused with styes, which are similar but typically more painful and appear as a red, tender bump on the eyelid. Unlike styes, chalazia tend to develop more slowly and are not usually associated with an acute infection."
19,"What are the possible etiologies of decreased visual acuity associated with eye redness (several correct answers)?
","Decreased visual acuity refers to a decline in the sharpness or clarity of vision, which can result in difficulty seeing fine details. Eye redness, also known as conjunctival injection, is characterized by a visible red or pink coloration of the whites of the eyes due to increased blood flow. There are several potential causes for decreased visual acuity associated with eye redness, including corneal abrasion (a scratch on the surface of the cornea), iridocyclitis (inflammation of the iris and ciliary body), and keratitis (inflammation of the cornea). Other factors such as dry eye syndrome, blepharitis (inflammation of the eyelids), and uveitis (inflammation of the uveal tract) may also contribute to these symptoms."
20,"In cases of myopia (one or more correct answers):
","Myopia, also known as nearsightedness, is a refractive error where light rays focus in front of the retina, resulting in blurred distant vision. It is typically caused by an elongated eyeball or excessive curvature of the cornea. This condition can lead to various complications, including increased risk of retinal detachment, glaucoma, and cataracts. Additionally, individuals with myopia may experience visual discomfort, headaches, and difficulty seeing objects at a distance."
21,"You are managing an 83-year-old patient, well supported, on day 2 of knee arthroplasty. The Redon drains were removed without issue. She presents with a swollen knee, very edematous and inflammatory. The scar is fine, non-inflammatory. What is (are) the correct proposal(s)?
","The patient is an 83-year-old individual who underwent knee arthroplasty, a surgical procedure to replace the knee joint, two days ago. The Redon drains, which are used to remove excess fluid from the surgical site, were successfully removed without any complications. However, the patient now presents with a swollen and edematous knee, indicating an accumulation of fluid, along with signs of inflammation. The surgical scar appears to be in good condition and does not show any signs of inflammation. Given these findings, it is necessary to determine the appropriate course of action or proposal to address the swelling and inflammation in the knee."
22,"You are taking care of a 32-year-old patient, a computer scientist, with a smoking history of 15 pack-years, no medical or surgical history, who was the victim of a road accident resulting in a severe spinal cord injury due to a C5 cervical fracture osteosynthesized via the anterior approach on April 30, 2018. The weaning from mechanical ventilation was difficult, so he underwent a tracheostomy on May 21, 2018, after orotracheal intubation. The weaning was then achieved on May 29. Upon arrival, he is eupneic. He presents a stage 4 pressure sore on the right trochanter, with substance loss down to the bone. The base of the pressure sore is fibrous, and purulent secretions are very abundant without any inflammatory skin signs. What is the correct proposal(s)?
","The patient is a 32-year-old computer scientist with a history of smoking and no prior medical or surgical issues. He sustained a severe spinal cord injury due to a C5 cervical fracture in a road accident. The fracture was treated with osteosynthesis via an anterior approach. Following the accident, the patient experienced difficulty weaning off mechanical ventilation, leading to a tracheostomy after orotracheal intubation. Eventually, successful weaning was achieved. Currently, the patient is breathing normally (eupneic) but has developed a stage 4 pressure sore on the right trochanter. This pressure sore has resulted in substance loss down to the bone, with a fibrous base and abundant purulent secretions, although there are no signs of inflammation around the sore. The question is what the appropriate proposal(s) would be for this patient's condition."
23,"You are prescribing a standard articulated knee brace for one of your patients with a knee sprain. Check the correct prescription principle(s) for this type of medical device:
","When prescribing a standard articulated knee brace for a patient with a knee sprain, it is important to consider the correct principles for this type of medical device. These principles include providing support and stability to the knee joint, limiting excessive motion that may exacerbate the injury, and allowing for a range of motion that facilitates functional activities and rehabilitation exercises. Additionally, the brace should be adjustable to accommodate swelling or changes in the patient's condition."
24,"Regarding carpal tunnel syndrome, which proposition(s) is(are) true?
","Carpal tunnel syndrome is a condition characterized by symptoms such as numbness, tingling, and pain in the hand and arm. It occurs when the median nerve, which runs from the forearm into the hand, becomes compressed or irritated at the wrist. This compression can result from various factors, including repetitive motion or certain medical conditions. Treatment options for carpal tunnel syndrome may include splinting, physical therapy, medication, or surgery, depending on the severity of the condition."
25,"Regarding knee osteoarthritis, which is (are) the correct answer(s)?
","Knee osteoarthritis is a degenerative joint disease characterized by the breakdown of joint cartilage and underlying bone in the knee. It is commonly associated with aging and repetitive joint use, leading to symptoms such as pain, stiffness, and decreased range of motion. Treatment options for knee osteoarthritis may include non-pharmacological interventions like physical therapy and weight management, as well as pharmacological treatments such as nonsteroidal anti-inflammatory drugs (NSAIDs) and corticosteroid injections. In severe cases, surgical interventions like total knee replacement may be considered."
26,"A 78-year-old former mechanic comes in for consultation due to significant febrile inflammatory low back pain that has appeared over the past 10 days. You suspect a spondylodiscitis and decide to prescribe him a lumbar MRI. This patient has a total hip prosthesis placed 8 years ago and a valve prosthesis for 2 years. He received a coronary stent placement 3 months ago. He presents a glomerular filtration rate of 48 ml/min. During the interview, he reports having received metal fragments in his right eye and right cheek 40 years ago. What contraindicates the use of an injected MRI?
","The patient's history of metal fragments in the right eye and right cheek 40 years ago contraindicates the use of an injected MRI. This is because the presence of metallic foreign bodies can cause artifacts on MRI images and may pose a risk of movement or heating of the metal during the procedure. Additionally, the patient's renal function, as indicated by the glomerular filtration rate (GFR) of 48 ml/min, is important to consider as some MRI contrast agents can be nephrotoxic. Given these factors, it is crucial to avoid the use of an injected MRI in this patient to prevent any potential complications."
27,"In case of oculomotor nerve (III) paralysis, you may encounter during examination?
","In the case of oculomotor nerve (III) paralysis, during examination, you may encounter several clinical manifestations. The oculomotor nerve is responsible for controlling most of the eye's movements, including constriction of the pupil, accommodation for near vision, and eyelid elevation. Paralysis of this nerve can lead to a characteristic set of symptoms known as 'oculomotor nerve palsy,' which may include drooping of the eyelid (ptosis), an outward deviation of the eye (strabismus), dilated pupil (mydriasis), and inability to move the eye in certain directions. These findings are crucial for diagnosing oculomotor nerve dysfunction."
28,"A 62-year-old patient has a medical history of essential hypertension treated with monotherapy for 2 years and active smoking (45 pack-years). For about two weeks, he has been complaining of daily headaches that typically occur in the second part of the night. Initially, they gradually decreased during the morning. For about 3 days, they have been constant. These headaches are described as diffuse and helmet-like, fluctuating in intensity, and are worsened by physical activity. He also complains of a lack of appetite and nausea, both of which have progressively developed. The patient is afebrile. What syndrome do you suggest in light of this picture?
","The patient's symptoms of daily headaches that occur in the second part of the night, along with a lack of appetite and nausea, may suggest a condition known as Hypertensive Brainstem Encephalopathy. This syndrome is characterized by symptoms that are often associated with high blood pressure and can affect the brainstem. The patient's history of essential hypertension and smoking may contribute to the development of this syndrome. It is important to consider other possible causes as well, but given the clinical picture, Hypertensive Brainstem Encephalopathy should be considered as a potential diagnosis."
29,"A 59-year-old patient has developed a tremor in the last three fingers of the right hand that those around him have also noticed while walking. He swings the right upper limb less while walking. Upon examination, you note that the tremor disappears with arms outstretched. You observe that passive mobilization of the right elbow is more difficult and that mobilization of the right shoulder is painful. The deep tendon reflexes are normal. This type of tremor is probably aggravated by:
","The patient is experiencing a tremor in the last three fingers of the right hand, which is noticeable during walking and diminishes when the arms are outstretched. This suggests a possible neurological condition. The difficulty in passive mobilization of the right elbow and painful mobilization of the right shoulder indicate potential joint involvement. Normal deep tendon reflexes suggest that the tremor is not due to an abnormal reflex response. Based on these findings, the tremor is likely aggravated by a specific condition that affects the nervous system and joints."
30,"Among the following propositions, which one(s) apply(ies) to a central neurogenic bladder?
","A central neurogenic bladder refers to a condition where there is a disruption in the normal functioning of the bladder due to damage or dysfunction in the central nervous system. This can result from various causes such as spinal cord injury, multiple sclerosis, or brain trauma. In a central neurogenic bladder, the bladder muscles may become hyperactive, leading to involuntary contractions and urgency to urinate. Additionally, there may be impaired sensation of bladder fullness and difficulty with voluntary control over urination."
31,"Which of the following foods contain more than 5% carbohydrates?
","To determine which foods contain more than 5% carbohydrates, it is important to understand the nutritional content of various food groups. Carbohydrates are a primary source of energy for the body and can be found in a variety of foods. Foods high in carbohydrates include fruits, vegetables, grains, legumes, and dairy products. It is essential to read food labels or consult reliable nutrition sources to accurately identify the carbohydrate content of specific foods."
32,"Among the following biological signs, which one(s) guide you towards iatrogenic adrenal insufficiency in a 38-year-old patient with a history of Crohn's disease treated for 5 years with 10 mg/day of prednisone?
","Iatrogenic adrenal insufficiency refers to a condition where the adrenal glands do not produce enough cortisol due to prolonged use of corticosteroid medications, such as prednisone. In this case, the patient has been taking prednisone for 5 years to manage their Crohn's disease. Biological signs that may indicate iatrogenic adrenal insufficiency include changes in blood pressure, electrolyte imbalances, and symptoms of adrenal insufficiency such as fatigue, weight loss, and low blood sugar."
33,"You see in consultation a 15-day-old newborn who presents with isolated fever at 38.2°C and a preserved general condition.
","The newborn in question is presenting with a fever of 38.2°C, which is considered a high body temperature for an infant. Fever in newborns can be a sign of an underlying infection and requires further investigation. The preserved general condition suggests that the baby appears well otherwise, without any obvious signs of distress or illness. It is important to assess the baby's vital signs, perform a physical examination, and consider obtaining laboratory tests to determine the cause of the fever and guide appropriate management."
34,"In the presence of a tongue lesion, what clinical sign(s) would suggest a malignant origin?
","When evaluating a tongue lesion, there are several clinical signs that may suggest a malignant origin. These signs include ulceration, which refers to the formation of an open sore on the surface of the tongue; induration, which is characterized by an abnormal hardening or thickening of the tissue; and fixation to the floor of the mouth, indicating that the lesion is attached and does not move freely when probed. Additionally, a malignant tongue lesion may bleed easily upon examination. These signs, along with others, can help clinicians differentiate between benign and malignant lesions and guide further diagnostic and treatment decisions."
35,"You are intervening at the home of an infant found deceased by their parents a few minutes ago:
","When responding to the home of an infant found deceased by their parents, it is crucial to approach the situation with sensitivity and follow a systematic protocol for neonatal resuscitation. Upon arrival, assess the scene for safety and potential hazards. Begin by evaluating the infant's responsiveness and breathing. If the infant is unresponsive and not breathing or has agonal gasps, immediately start cardiopulmonary resuscitation (CPR) using a ratio of 15:2 (15 compressions to 2 breaths) for approximately two minutes. If there is no response after this initial period, consider additional interventions such as administering oxygen or medications, while continuing CPR. It is essential to involve emergency medical services as soon as possible to transport the infant to a medical facility for further evaluation and management."
36,"You explain to young parents whose child is experiencing a first febrile episode the measure(s) to take during this episode.
","Febrile episodes in children, commonly known as fevers, are often a sign that the body is fighting off an infection. When a child experiences a fever, it is important for parents to take appropriate measures to manage the fever and ensure the child's comfort. These measures include monitoring the child's temperature regularly, encouraging fluid intake to prevent dehydration, and using fever-reducing medications such as acetaminophen or ibuprofen under the guidance of a healthcare professional. Additionally, parents should observe the child for any other symptoms that may require medical attention."
37,"Regarding cervical swellings, what is the exact item(s)?
","Cervical swellings refer to any abnormal growths or enlargements found in the neck area. These swellings can be caused by a variety of conditions, including infections, inflammation, benign tumors, or even cancer. It is important to identify the specific cause of a cervical swelling in order to determine the appropriate treatment."
38,"Regarding peritonsillar abscess, what are the exact item(s)?
","Peritonsillar abscess is a condition characterized by a collection of pus in the peritonsillar space, which is located between the capsule of the palatine tonsil and the superior constrictor muscle of the pharynx. This abscess typically presents with severe throat pain, difficulty swallowing, trismus (lockjaw), and a 'hot potato' voice. The exact items involved in peritonsillar abscess are the palatine tonsil, its capsule, and the superior constrictor muscle."
39,"Regarding benign paroxysmal positional vertigo, what is (are) the exact item(s)?
","Benign paroxysmal positional vertigo (BPPV) is a condition characterized by sudden episodes of dizziness or vertigo triggered by specific head movements. The exact cause of BPPV is the displacement of otoconia, which are tiny calcium carbonate crystals located in the utricle of the inner ear. These crystals play a role in sensing gravity and head position. When they become dislodged and move into one of the semicircular canals, it can cause brief episodes of vertigo that come and go."
40,"A 32-year-old patient presents to the emergency room with asthenia. There are no other abnormalities on clinical examination. Biological tests reveal an increase in transaminases, with AST = 1362 IU (normal <40), ALT = 2348 IU (normal <40). What are the possible cause(s) of this increase in transaminases?
","Asthenia refers to a general feeling of weakness or lack of energy. In this case, the patient's elevated transaminase levels, specifically AST (aspartate aminotransferase) and ALT (alanine aminotransferase), indicate liver damage. Transaminases are enzymes that are primarily found inside liver cells, and their levels in the blood can increase when there is liver injury or disease. The significant elevation of AST and ALT suggests acute liver damage, which could be caused by various factors such as viral hepatitis, alcohol abuse, drug toxicity, autoimmune disorders, or genetic conditions. Further diagnostic tests would be necessary to determine the exact cause of the liver damage in this patient."
41,"A 62-year-old patient presents with progressively developed hyponatremia. He appears clinically euvolemic. His blood biochemistry results are as follows: Na 125 mmol/l, K 4 mmol/l, chloride 110 mmol/l, HCO3- 25 mmol/l, blood glucose 5 mmol/l, proteins 67 g/l, urea 4 mmol/l, creatinine 78 µmol/l. Urine test results: Na 100 mmol/l, K 25 mmol/l, urea 350 mmol/l, creatinine 8 mmol/l. What are the possible causes of this biological profile? (one or more correct answers)?
","Hyponatremia refers to a condition characterized by low sodium levels in the blood. In this case, the patient has a sodium level of 125 mmol/l, which is below the normal range. The term 'euvolemic' indicates that the patient does not show signs of dehydration or fluid overload.  The blood biochemistry results reveal additional information about the patient's condition. The potassium level is within the normal range, while the chloride and bicarbonate levels are slightly elevated. The blood glucose, protein, urea, and creatinine levels are all within the normal range.  The urine test results provide further insight. The high urine sodium level suggests that the kidneys are not conserving sodium, which is unusual in cases of hyponatremia. The elevated urine osmolality indicates concentrated urine, which could be a response to the low blood sodium levels.  Based on these findings, the possible causes of this biological profile include syndrome of inappropriate antidiuretic hormone secretion (SIADH), which is characterized by excessive production of antidiuretic hormone leading to water retention and dilutional hyponatremia. Another possibility is cerebral salt wasting syndrome, which occurs due to excessive renal sodium excretion in patients with neurological disorders. Additionally, the use of certain medications such as diuretics or selective serotonin reuptake inhibitors (SSRIs) can also lead to hyponatremia."
42,"An 86-year-old patient is hospitalized for hematemesis. He is known to have viral hepatitis B, not monitored. His family describes a bloody vomit equivalent in volume to that of a basin. On examination, he presents with ascites and asterixis. The systolic blood pressure is at 55 mmHg. Among the following elements, which is (are) associated with a poor prognosis?
","Hematemesis refers to the vomiting of blood, which can be indicative of severe gastrointestinal bleeding. In this case, the patient's significant hematemesis, along with a history of viral hepatitis B and current symptoms of ascites (the accumulation of fluid in the peritoneal cavity) and asterixis (a flapping tremor of the hands), suggests a potential diagnosis of hepatic encephalopathy or upper gastrointestinal bleeding secondary to portal hypertension. The low systolic blood pressure of 55 mmHg indicates hypotension, which may be a result of the acute blood loss. These findings raise concerns for the patient's prognosis, and it is important to identify which factors are associated with a poor outcome in this context."
43,"A 62-year-old patient presents the following biological results: Na 142 mmol/l, K 5.7 mmol/l, chloride 110 mmol/l, HCO3- 18 mmol/l, proteins 88 g/l, urea 20 mmol/l, creatininemia 170 µmol/l. Which medication(s) can cause this biological profile? (one or more correct answers)
","The biological profile presented by the 62-year-old patient indicates hyperkalemia (high potassium levels), hyponatremia (low sodium levels), hypochloremia (low chloride levels), metabolic acidosis (low bicarbonate levels), hyperproteinemia (high protein levels), and renal impairment (high urea and creatinine levels). This profile is suggestive of a condition known as renal tubular acidosis (RTA), which can be caused by certain medications. One medication commonly associated with RTA is amphotericin B, an antifungal medication that can cause electrolyte imbalances and kidney damage. Other medications that can cause similar effects include certain diuretics, such as spironolactone and triamterene, which can disrupt electrolyte balance and lead to RTA."
